City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Dire Dawa,ET,2021-06-07 04:25:40,9.5931,41.8661,72.73,59,11,7.14
180,Marabba,SD,2021-06-07 04:25:40,12.35,32.1833,82.9,56,42,10.78
181,Abu Dhabi,AE,2021-06-07 04:25:40,24.4667,54.3667,91.51,62,0,11.05
182,Itarema,BR,2021-06-07 04:21:31,-2.9248,-39.9167,75.92,87,12,7.92
183,Constitucion,CL,2021-06-07 04:20:56,-35.3333,-72.4167,52.12,63,100,4.81
184,Zyryanka,RU,2021-06-07 04:25:41,65.75,150.85,45.73,79,100,3.96
185,Diamantino,BR,2021-06-07 04:25:41,-14.4086,-56.4461,72.75,60,86,4.32
186,Portland,US,2021-06-07 04:23:29,45.5234,-122.6762,55.98,66,46,1.01
187,Saldanha,ZA,2021-06-07 04:25:42,-33.0117,17.9442,68.05,38,2,27.07
188,Kashan,IR,2021-06-07 04:25:42,33.9831,51.4364,86.04,12,0,4.94
189,Utrecht,NL,2021-06-07 04:21:48,52.0,5.25,54.99,82,4,4.56
190,Margate,GB,2021-06-07 04:25:09,51.3813,1.3862,59.04,90,16,1.01
191,Souillac,MU,2021-06-07 04:22:18,-20.5167,57.5167,76.35,78,75,18.34
192,Nacozari,MX,2021-06-07 04:25:43,25.3366,-108.2574,80.06,56,12,4.03
193,Chipinge,ZW,2021-06-07 04:25:43,-20.1883,32.6236,48.33,97,61,3.18
194,Yulara,AU,2021-06-07 04:25:43,-25.2406,130.9889,69.64,26,56,6.91
195,Mackenzie,CA,2021-06-07 04:25:44,55.2999,-123.1698,53.82,54,75,4.61
196,Baykit,RU,2021-06-07 04:24:23,61.67,96.37,44.76,84,99,7.52
197,Kisanga,TZ,2021-06-07 04:25:44,-7.4362,37.7034,69.35,77,86,3.47
198,Coihaique,CL,2021-06-07 04:25:44,-45.5752,-72.0662,42.75,87,75,3.44
199,Scranton,US,2021-06-07 04:25:45,41.409,-75.6624,74.03,82,1,4.61
200,Awbari,LY,2021-06-07 04:25:45,26.5921,12.7805,78.01,20,53,7.11
201,Cabo San Lucas,MX,2021-06-07 04:24:48,22.8909,-109.9124,87.8,62,11,11.41
202,San Rafael,AR,2021-06-07 04:24:15,-34.6177,-68.3301,50.0,63,22,1.41
203,Tarbes,FR,2021-06-07 04:25:45,43.25,0.1667,55.51,94,40,3.58
204,Champerico,GT,2021-06-07 04:25:46,14.3,-91.9167,83.35,75,25,3.36
205,Quelimane,MZ,2021-06-07 04:25:46,-17.8786,36.8883,60.75,94,40,4.61
206,Berlevag,NO,2021-06-07 04:24:30,70.8578,29.0864,42.8,65,1,3.42
207,Hasaki,JP,2021-06-07 04:24:30,35.7333,140.8333,79.09,79,100,2.04
208,Beringovskiy,RU,2021-06-07 04:23:02,63.05,179.3167,34.47,99,100,3.85
209,Sobolevo,RU,2021-06-07 04:25:47,54.4299,31.8996,57.7,89,96,4.88
210,Mount Isa,AU,2021-06-07 04:25:47,-20.7333,139.5,78.57,27,0,10.36
211,Georgetown,MY,2021-06-07 04:21:00,5.4112,100.3354,87.89,71,20,4.61
212,Maryborough,AU,2021-06-07 04:25:47,-25.5333,152.7,69.13,57,68,6.33
213,Anadyr,RU,2021-06-07 04:25:48,64.75,177.4833,43.3,65,40,7.92
214,Dhidhdhoo,MV,2021-06-07 04:25:48,6.8833,73.1,82.45,77,84,14.65
215,Touros,BR,2021-06-07 04:24:22,-5.1989,-35.4608,74.3,86,42,12.93
216,North Myrtle Beach,US,2021-06-07 04:24:55,33.816,-78.68,77.13,96,1,4.61
